City,Quality of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Cost of Living Index,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index,Climate Index,Year
"Canberra, Australia",236.98,132.66,64.47,81.85,102.65,4.63,10.8,14.76,-,2014
"Ottawa, Canada",218.77,131.88,76.09,68.64,86.15,4.9,40.0,22.46,-,2014
"Frankfurt, Germany",214.97,139.18,72.48,63.1,96.57,5.07,28.75,31.29,-,2014
"Zurich, Switzerland",208.21,124.64,78.9,75.61,157.47,8.69,24.8,17.14,-,2014
"Denver, CO, United States",205.94,133.98,60.4,82.59,82.1,1.81,43.33,37.93,-,2014
"Bergen, Norway",196.96,99.55,84.27,89.4,140.03,9.05,28.4,15.19,-,2014
"Calgary, Canada",196.6,118.8,66.9,71.05,96.72,5.41,40.36,22.57,-,2014
"Trondheim, Norway",192.96,92.49,80.2,84.81,152.89,6.88,19.14,13.19,-,2014
"Boston, MA, United States",192.59,115.63,61.21,79.35,92.94,4.62,42.4,24.59,-,2014
"Edmonton, Canada",187.41,102.13,62.96,76.15,92.66,4.08,33.6,21.53,-,2014
"San Diego, CA, United States",187.14,141.65,52.75,65.28,77.48,2.75,56.25,42.59,-,2014
"Wellington, New Zealand",185.75,91.81,69.22,73.52,104.28,5.31,27.5,14.52,-,2014
"Seattle, WA, United States",179.34,115.27,59.66,67.87,91.63,4.38,42.5,31.28,-,2014
"Adelaide, Australia",176.71,104.04,58.35,61.11,103.12,4.97,20.2,25.99,-,2014
"Chicago, IL, United States",175.19,117.29,45.09,62.92,81.01,2.82,33.0,34.04,-,2014
"Copenhagen, Denmark",174.66,97.83,69.37,85.74,117.24,6.54,27.57,32.76,-,2014
"Dubai, United Arab Emirates",174.64,115.52,77.17,67.04,70.78,5.33,35.43,54.74,-,2014
"Berlin, Germany",173.06,99.44,72.25,73.08,84.51,6.22,49.46,28.04,-,2014
"Melbourne, Australia",171.77,107.25,59.17,76.31,108.72,8.3,40.81,24.25,-,2014
"Toronto, Canada",171.6,101.75,71.34,70.87,89.22,7.96,40.11,30.27,-,2014
"Vienna, Austria",169.65,94.09,70.09,77.78,90.16,12.51,25.33,25.18,-,2014
"Perth, Australia",168.51,102.81,56.52,74.95,119.89,7.47,38.45,21.02,-,2014
"Brisbane, Australia",167.15,93.27,62.65,75.15,106.39,5.58,45.82,20.33,-,2014
"Sydney, Australia",165.6,101.08,62.18,69.03,111.84,8.7,43.47,20.13,-,2014
"Stockholm, Sweden",160.86,97.09,56.65,71.64,113.94,11.58,37.75,14.72,-,2014
"Tokyo, Japan",159.93,93.46,80.47,78.7,104.2,7.89,47.64,37.8,-,2014
"Vancouver, Canada",159.16,91.55,64.68,81.09,98.11,9.93,40.75,26.58,-,2014
"San Francisco, CA, United States",157.71,103.91,56.51,74.21,93.66,7.43,40.5,36.85,-,2014
"Montreal, Canada",153.89,100.23,62.08,69.19,83.27,4.86,48.13,42.06,-,2014
"Oslo, Norway",149.0,94.63,58.35,73.44,141.22,8.4,32.0,30.08,-,2014
"Auckland, New Zealand",147.94,89.13,50.63,72.13,107.55,6.35,34.0,29.02,-,2014
"Cape Town, South Africa",147.8,96.95,30.09,71.3,46.83,4.6,42.44,32.58,-,2014
"Houston, TX, United States",145.37,120.57,43.21,75.61,86.52,2.59,40.94,67.46,-,2014
"Tallinn, Estonia",140.7,48.06,68.91,74.54,69.59,12.54,25.5,9.57,-,2014
"Vilnius, Lithuania",130.05,43.84,70.83,72.99,61.2,13.61,25.71,16.08,-,2014
"New York, NY, United States",125.73,100.0,54.21,54.82,100.0,7.85,39.38,51.95,-,2014
"Prague, Czech Republic",125.25,64.1,67.37,70.71,58.48,12.87,34.33,35.13,-,2014
"Dublin, Ireland",123.66,88.34,39.75,38.25,111.45,6.57,24.12,31.14,-,2014
"Porto, Portugal",123.2,57.14,60.29,69.17,66.68,7.64,22.29,39.0,-,2014
"Ljubljana, Slovenia",122.43,59.39,65.41,60.96,77.54,11.88,20.8,31.84,-,2014
"Brno, Czech Republic",116.97,62.88,65.13,56.76,58.03,10.2,30.22,41.02,-,2014
"Brussels, Belgium",115.01,89.83,48.65,70.56,103.82,5.85,24.33,66.96,-,2014
"Manchester, United Kingdom",114.21,63.49,47.75,86.11,104.72,6.23,45.25,37.11,-,2014
"Ahmedabad, India",108.2,66.1,76.59,67.13,27.06,6.77,49.0,70.47,-,2014
"Johannesburg, South Africa",108.14,98.51,16.39,60.62,52.81,3.24,36.83,62.51,-,2014
"Cluj-Napoca, Romania",107.89,40.47,77.27,57.14,47.38,12.66,23.2,37.72,-,2014
"Lisbon, Portugal",107.61,54.64,61.33,64.19,71.23,10.25,41.54,34.61,-,2014
"Zagreb, Croatia",102.87,49.88,67.39,62.5,71.35,13.84,33.86,34.93,-,2014
"London, United Kingdom",96.94,81.53,54.26,74.07,113.27,14.76,47.53,51.38,-,2014
"Thessaloniki, Greece",96.01,43.27,67.57,69.41,83.97,11.66,20.5,47.28,-,2014
"Madrid, Spain",95.29,68.46,63.88,75.19,82.2,13.13,34.88,63.54,-,2014
"Paris, France",94.51,88.48,47.39,83.33,120.68,15.87,35.67,62.47,-,2014
"Warsaw, Poland",94.04,63.5,65.56,55.16,58.61,12.47,37.5,55.79,-,2014
"Wroclaw, Poland",93.13,56.11,65.42,57.6,54.42,10.99,35.86,55.06,-,2014
"Bangalore, India",90.1,74.25,49.59,69.38,28.3,8.13,45.12,76.56,-,2014
"Singapore, Singapore",83.83,64.02,80.22,59.9,101.3,23.0,48.1,45.01,-,2014
"Barcelona, Spain",83.25,66.67,59.13,69.75,82.13,12.96,28.71,70.94,-,2014
"Hyderabad, India",80.33,66.59,59.24,62.77,25.56,6.93,50.45,82.88,-,2014
"Hong Kong, Hong Kong",79.12,68.36,82.03,73.98,82.73,25.87,40.43,64.25,-,2014
"Pune, India",79.09,77.54,51.43,67.01,28.32,10.37,64.0,77.12,-,2014
"Buenos Aires, Argentina",77.8,57.75,44.86,81.6,71.3,10.47,47.22,60.59,-,2014
"Budapest, Hungary",74.71,46.64,61.58,48.67,61.31,9.67,41.54,55.1,-,2014
"Ankara, Turkey",71.93,63.7,60.95,42.47,48.38,5.26,44.83,81.11,-,2014
"Istanbul, Turkey",70.62,56.89,57.13,66.74,53.56,8.59,68.38,65.42,-,2014
"Banja Luka, Bosnia And Herzegovina",69.29,42.62,66.33,39.35,51.44,13.08,24.6,59.0,-,2014
"Coimbatore, India",68.23,45.17,46.5,80.56,24.85,10.99,63.75,58.27,-,2014
"Chennai, India",68.12,61.56,64.07,65.69,27.12,15.4,47.33,79.45,-,2014
"Kuala Lumpur, Malaysia",65.61,73.61,26.05,57.24,51.94,9.23,43.67,70.48,-,2014
"Belgrade, Serbia",63.97,39.64,63.96,52.72,54.88,18.04,26.0,54.95,-,2014
"Sofia, Bulgaria",61.51,41.96,54.24,59.91,51.59,9.57,37.91,67.68,-,2014
"Milan, Italy",56.18,73.0,47.76,67.54,100.43,17.48,44.0,74.36,-,2014
"Curitiba, Brazil",54.19,33.02,41.42,55.69,59.95,15.9,28.25,44.83,-,2014
"Delhi, India",53.94,63.59,43.62,67.39,30.48,15.75,47.08,79.92,-,2014
"Mexico City, Mexico",53.89,60.1,34.72,64.58,53.39,7.52,50.56,78.55,-,2014
"Santiago, Chile",51.95,54.35,51.08,61.57,60.86,9.87,50.6,79.29,-,2014
"Bangkok, Thailand",46.89,39.31,62.05,90.15,52.81,19.91,36.5,80.41,-,2014
"Athens, Greece",43.14,41.8,47.65,48.94,86.75,12.94,41.64,59.82,-,2014
"Amman, Jordan",39.95,37.58,49.73,72.72,63.93,8.07,60.2,77.27,-,2014
"Kolkata, India",37.48,55.61,51.48,32.84,26.18,11.16,60.88,80.16,-,2014
"Bucharest, Romania",28.24,37.19,68.11,50.27,52.12,14.01,38.12,92.66,-,2014
"Rome, Italy",25.05,58.99,40.63,62.46,95.51,24.11,44.62,71.01,-,2014
"Bogota, Colombia",24.82,30.24,44.31,63.89,55.27,15.97,45.5,69.85,-,2014
"Shanghai, China",23.9,45.87,74.72,66.93,61.67,28.57,34.33,89.83,-,2014
"Kiev (Kyiv), Ukraine",17.55,36.8,49.24,40.58,49.51,16.99,33.0,81.09,-,2014
"Sao Paulo, Brazil",14.05,44.96,27.76,55.69,70.78,15.44,48.18,75.46,-,2014
"Beirut, Lebanon",13.51,40.45,50.02,63.43,73.62,18.66,41.75,88.25,-,2014
"Saint Petersburg, Russia",10.08,44.29,46.67,53.33,60.85,16.47,62.5,84.52,-,2014
"Rio de Janeiro, Brazil",7.51,44.99,28.03,47.09,68.53,18.26,45.0,74.32,-,2014
"Moscow, Russia",-1.12,47.11,46.46,47.46,73.94,21.08,58.0,85.86,-,2014
"Cairo, Egypt",-4.08,26.52,46.87,56.09,39.58,10.78,64.5,97.07,-,2014
"Mumbai, India",-5.06,47.84,58.12,63.86,31.34,28.53,74.8,92.7,-,2014
"Jakarta, Indonesia",-6.99,28.47,46.89,48.06,45.62,17.51,56.43,87.29,-,2014
"Ulaanbaatar, Mongolia",-27.1,25.38,33.77,27.23,58.05,15.7,36.86,94.98,-,2014
"Tehran, Iran",-28.84,29.6,38.23,46.55,52.65,23.75,61.0,86.85,-,2014
"Caracas, Venezuela",-35.54,18.0,17.67,45.49,122.82,18.98,38.75,72.65,-,2014
"Canberra, Australia",242.18,134.75,69.15,74.27,96.96,4.79,18.62,8.27,-,2015
"Ottawa, Canada",223.88,131.02,75.17,67.65,79.87,5.69,33.86,18.07,-,2015
"Zurich, Switzerland",218.48,133.91,80.34,71.35,141.06,8.07,26.44,18.79,-,2015
"Frankfurt, Germany",210.97,139.55,70.04,63.1,83.53,5.76,27.17,35.85,-,2015
"Sacramento, CA, United States",209.02,145.3,49.75,74.34,88.21,2.57,22.5,41.72,-,2015
"Denver, CO, United States",203.92,130.06,62.28,83.48,78.59,2.6,52.5,32.43,-,2015
"Austin, TX, United States",198.66,136.39,58.64,77.84,78.26,3.9,36.75,43.8,-,2015
"Salt Lake City, UT, United States",197.33,137.61,69.71,68.89,69.71,2.94,37.83,53.28,-,2015
"Boston, MA, United States",197.29,118.78,58.87,79.59,89.37,3.2,42.14,25.09,-,2015
"Munich, Germany",196.87,99.64,85.36,90.59,84.16,13.09,24.5,21.82,-,2015
"Calgary, Canada",195.85,118.47,66.81,68.8,89.29,4.84,39.72,24.72,-,2015
"Edinburgh, United Kingdom",195.1,96.34,71.96,68.19,91.74,5.62,21.43,14.01,-,2015
"Wellington, New Zealand",194.66,99.06,70.34,67.86,100.09,4.71,28.33,12.47,-,2015
"Seattle, WA, United States",193.55,124.49,53.99,66.59,90.71,4.13,39.9,23.38,-,2015
"Saint Louis, MO, United States",192.25,134.89,27.79,83.33,80.35,2.39,25.25,36.67,-,2015
"Trondheim, Norway",192.19,93.45,81.69,86.24,119.93,7.65,19.14,21.8,-,2015
"San Diego, CA, United States",191.56,129.6,56.74,69.7,77.33,2.93,48.0,35.12,-,2015
"Geneva, Switzerland",189.91,130.21,62.15,60.0,145.18,10.13,17.6,23.81,-,2015
"Riyadh, Saudi Arabia",189.74,132.8,67.91,75.53,52.22,2.55,22.6,69.92,-,2015
"Victoria, Canada",185.14,102.08,56.84,72.02,84.89,6.33,31.75,15.06,-,2015
"Melbourne, Australia",182.96,113.38,60.12,75.14,97.03,8.45,36.84,23.34,-,2015
"Vienna, Austria",178.28,100.22,69.48,80.79,77.02,13.3,24.86,25.02,-,2015
"Chicago, IL, United States",177.47,127.49,39.43,62.92,79.65,3.61,32.5,36.66,-,2015
"Copenhagen, Denmark",175.3,96.68,73.2,74.49,105.72,6.78,30.0,28.82,-,2015
"Brisbane, Australia",174.14,100.05,61.75,77.78,95.49,6.38,46.56,20.96,-,2015
"Stockholm, Sweden",174.12,105.62,54.02,69.44,89.15,11.88,35.56,12.38,-,2015
"Edmonton, Canada",172.86,101.79,60.55,76.68,84.92,4.49,45.5,28.97,-,2015
"Berlin, Germany",170.63,97.08,67.45,75.0,74.72,7.49,42.0,28.61,-,2015
"Tokyo, Japan",170.5,96.79,76.99,85.03,85.41,8.66,44.15,35.07,-,2015
"Trieste, Italy",169.48,86.19,82.26,73.46,85.24,5.47,20.0,42.15,-,2015
"Perth, Australia",166.85,105.18,55.76,67.84,108.99,7.19,36.64,24.57,-,2015
"Glasgow, United Kingdom",166.76,99.32,47.34,91.87,92.77,5.18,47.67,26.25,-,2015
"Vancouver, Canada",166.34,94.7,63.37,75.19,90.19,9.61,41.25,20.6,-,2015
"Helsinki, Finland",166.31,91.39,64.37,71.37,94.2,10.94,27.0,19.83,-,2015
"Amsterdam, Netherlands",164.92,99.63,66.86,64.63,88.19,8.41,27.0,34.21,-,2015
"Bristol, United Kingdom",164.86,101.12,62.52,87.78,97.81,13.78,26.33,31.75,-,2015
"Adelaide, Australia",164.83,93.75,58.04,62.79,98.9,6.28,26.29,23.36,-,2015
"Hamburg, Germany",164.35,98.13,66.73,63.33,81.79,8.48,28.62,32.87,-,2015
"Dubai, United Arab Emirates",162.45,106.3,78.42,60.98,70.34,6.33,31.58,55.64,-,2015
"Oslo, Norway",162.29,99.05,60.09,73.29,115.38,8.59,30.33,28.04,-,2015
"Atlanta, GA, United States",162.22,156.21,40.14,68.52,75.7,2.76,54.0,75.69,-,2015
"Los Angeles, CA, United States",161.47,136.93,46.4,65.09,69.41,5.17,45.33,60.92,-,2015
"San Francisco, CA, United States",161.3,116.72,56.51,68.29,97.0,8.28,37.29,42.35,-,2015
"Toronto, Canada",161.15,103.5,68.34,70.55,81.74,9.04,42.85,38.02,-,2015
"Valencia, Spain",160.6,80.57,73.24,80.0,65.44,9.35,23.0,36.61,-,2015
"Montreal, Canada",159.85,100.25,63.45,66.07,81.15,5.52,44.19,36.66,-,2015
"Sydney, Australia",159.61,104.9,59.22,70.5,100.42,8.76,42.79,30.95,-,2015
"Bursa, Turkey",156.73,58.66,83.23,76.98,49.33,4.34,42.38,28.11,-,2015
"Abu Dhabi, United Arab Emirates",155.9,105.35,86.85,48.02,62.28,5.76,27.67,65.8,-,2015
"Auckland, New Zealand",154.59,89.08,53.64,72.28,96.24,6.87,34.83,25.46,-,2015
"Regina, Canada",153.25,101.74,58.29,56.63,85.02,5.91,38.67,37.37,-,2015
"Phoenix, AZ, United States",152.84,124.89,44.68,64.24,72.3,2.97,28.33,68.12,-,2015
"Houston, TX, United States",150.98,121.27,40.8,75.29,89.86,2.65,39.77,60.37,-,2015
"Jeddah (Jiddah), Saudi Arabia",150.72,120.56,64.93,49.26,50.59,3.38,34.0,74.29,-,2015
"Winnipeg, Canada",149.41,93.8,43.04,66.9,75.65,6.18,34.83,30.21,-,2015
"Cape Town, South Africa",146.69,97.71,28.38,77.35,44.04,4.59,46.73,34.62,-,2015
"Doha, Qatar",143.45,114.56,78.75,75.0,74.0,8.14,29.27,86.94,-,2015
"Pretoria, South Africa",143.0,129.58,22.98,74.12,46.73,2.13,42.57,70.99,-,2015
"Gdansk, Poland",140.64,66.26,71.09,63.03,44.38,9.12,26.75,34.97,-,2015
"Tallinn, Estonia",139.07,49.36,70.43,71.38,64.82,11.87,23.0,15.61,-,2015
"Philadelphia, PA, United States",137.34,109.99,33.92,58.89,88.57,2.94,35.0,51.44,-,2015
"Ljubljana, Slovenia",137.01,68.73,69.02,55.1,65.13,10.27,18.78,33.08,-,2015
"Seville (Sevilla), Spain",136.0,76.22,70.75,54.76,62.93,9.77,27.4,39.84,-,2015
"Prague, Czech Republic",132.25,69.95,67.07,69.24,49.73,11.64,32.5,38.15,-,2015
